Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Planned Operation Month,Planned Operation Year,Status,Latitude,Longitude
63991,"DG New York CS, LLC",65090,Cortlandville III Solar CSG,Map,Map,NY,Cortland,NYIS,IPP Non-CHP,CORT3,,5,5,5,Solar Photovoltaic,SUN,PV,2,2023,"(V) Under construction, more than 50 percent complete",42.60575,-76.13247
64516,"Azimuth 180 Solar Electric, LLC",65165,Ontario Sun,Map,Map,NY,Oswego,NYIS,IPP Non-CHP,ONSUN,,2.4,2.4,2.4,Solar Photovoltaic,SUN,PV,2,2023,"(V) Under construction, more than 50 percent complete",43.644,-76.156
9191,Idaho Power Co,66328,Filer BESS,Map,Map,ID,Twin Falls,IPCO,Electric Utility,1,,2,2,2,Batteries,MWH,BA,2,2023,"(U) Under construction, less than or equal to 50 percent complete",42.57156,-114.5951
9191,Idaho Power Co,66330,Weiser BESS,Map,Map,ID,Washington,IPCO,Electric Utility,1,,3,3,3,Batteries,MWH,BA,2,2023,"(U) Under construction, less than or equal to 50 percent complete",44.24753,-116.9853
56765,CER Colorado Bend Energy Partners LP,56350,Colorado Bend Energy Center,Map,Map,TX,Wharton,ERCO,IPP Non-CHP,CT4A,,37,31,31,Natural Gas Fired Combustion Turbine,NG,GT,3,2023,"(TS) Construction complete, but not yet in commercial operation",29.2878,-96.0683
56765,CER Colorado Bend Energy Partners LP,56350,Colorado Bend Energy Center,Map,Map,TX,Wharton,ERCO,IPP Non-CHP,CT4B,,37,31,31,Natural Gas Fired Combustion Turbine,NG,GT,3,2023,"(TS) Construction complete, but not yet in commercial operation",29.2878,-96.0683
803,Arizona Public Service Co,57561,Cotton Center Solar Hybrid,Map,Map,AZ,Maricopa,AZPS,Electric Utility,CC17M,,17,17,17,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",33.034722,-112.6617
803,Arizona Public Service Co,57562,Paloma Solar Hybrid,Map,Map,AZ,Maricopa,AZPS,Electric Utility,PA17M,,17,17,17,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",33.021111,-112.6614
803,Arizona Public Service Co,57563,Hyder Solar Hybrid,Map,Map,AZ,Yuma,AZPS,Electric Utility,H116M,,16,16,16,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",33.02566,-113.344
803,Arizona Public Service Co,57997,Foothills Solar Plant Hybrid,Map,Map,AZ,Yuma,AZPS,Electric Utility,FH38M,,38,38,38,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",32.64856,-114.4287
803,Arizona Public Service Co,58383,Hyder II Hybrid,Map,Map,AZ,Yuma,AZPS,Electric Utility,H214M,,14,14,14,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",33.027,-113.3489
803,Arizona Public Service Co,59020,Gila Bend Hybrid,Map,Map,AZ,Maricopa,AZPS,Electric Utility,GB36M,,36,36,36,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",32.940833,-112.8814
50123,"Leeward Asset Management, LLC",60325,"Willow Spring Solar 3, LLC",Map,Map,CA,Kern,CISO,IPP Non-CHP,GEN01,,72,72,72,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",34.845538,-118.3178
60217,San Bernardino Valley Mun. Water Dist.,60466,Waterman Turnout Hydroelectric,Map,Map,CA,San Bernardino,CISO,Electric Utility,WTHF,,1,1,1,Conventional Hydroelectric,WAT,HY,3,2023,"(V) Under construction, more than 50 percent complete",34.172625,-117.278
16609,San Diego Gas & Electric Co,61365,Fallbrook Energy Storage,Map,Map,CA,San Diego,CISO,Electric Utility,FBES,,40,40,40,Batteries,MWH,BA,3,2023,"(TS) Construction complete, but not yet in commercial operation",33.384244,-117.2353
62047,"Roadrunner Solar, LLC",62561,"Roadrunner, LLC Hybrid",Map,Map,TX,Upton,ERCO,IPP Non-CHP,BA,,50,50,50,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",31.219444,-102.1922
62046,"High Lonesome Wind Power, LLC",62562,"High Lonesome Wind Power, LLC Hybrid",Map,Map,TX,Upton,ERCO,IPP Non-CHP,BA,,50,50,50,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",31.171652,-101.8811
62806,Guernsey Power Station LLC,62949,Guernsey Power Station,Map,Map,OH,Guernsey,PJM,IPP Non-CHP,GPS3,,685,612,625,Natural Gas Fired Combined Cycle,NG,CS,3,2023,"(U) Under construction, less than or equal to 50 percent complete",39.9364,-81.5354
55983,Luminant Generation Company LLC,63233,Emerald Grove,Map,Map,TX,Pecos,ERCO,IPP Non-CHP,UNIT1,,108,108,108,Solar Photovoltaic,SUN,PV,3,2023,"(TS) Construction complete, but not yet in commercial operation",31.09331,-102.3596
15296,New York Power Authority,63238,Willis Battery Storage,Map,Map,NY,Franklin,NYIS,Electric Utility,WB1,,20,20,20,Batteries,MWH,BA,3,2023,"(U) Under construction, less than or equal to 50 percent complete",44.887905,-74.11828
63216,North Valley,63491,North Valley,Map,Map,NV,Washoe,NEVP,IPP Non-CHP,OEC1,,37,25,37,Geothermal,GEO,BT,3,2023,"(V) Under construction, more than 50 percent complete",40.37294,-119.4625
63451,"Madero Grid, LLC",63757,Madero Grid,Map,Map,TX,Hidalgo,ERCO,IPP Non-CHP,MAD01,,100,100,100,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",26.169846,-98.32979
63723,"Ignacio Grid, LLC",64089,Ignacio Grid Energy Storage System,Map,Map,TX,Hidalgo,ERCO,IPP Non-CHP,IGN01,,100,100,100,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",26.166944,-98.325
5248,Dominion Energy Inc.,64136,Sycamore Solar,Map,Map,VA,Pittsylvania,PJM,Electric Utility,SYSO,,42,42,42,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",36.942634,-79.1928
63784,"Azure Sky Wind Project, LLC",64164,"Azure Sky Wind Project, LLC Hybrid",Map,Map,TX,Throckmorton,ERCO,IPP Non-CHP,ASWBE,,120,120,120,Batteries,MWH,BA,3,2023,"(TS) Construction complete, but not yet in commercial operation",33.1902,-99.2598
63784,"Azure Sky Wind Project, LLC",64164,"Azure Sky Wind Project, LLC Hybrid",Map,Map,TX,Throckmorton,ERCO,IPP Non-CHP,ASWWT,,350.2,350.2,350.2,Onshore Wind Turbine,WND,WT,3,2023,"(TS) Construction complete, but not yet in commercial operation",33.1902,-99.2598
65060,BPL Crown Solar LLC,64259,BPL Crown Solar LLC,Map,Map,TX,Falls,ERCO,IPP Non-CHP,OCICR,,100,100,100,Solar Photovoltaic,SUN,PV,3,2023,"(TS) Construction complete, but not yet in commercial operation",31.346717,-97.08277
65061,BPL Sol Solar LLC,64260,BPL Sol Solar LLC,Map,Map,TX,Falls,ERCO,IPP Non-CHP,OCISO,,100,100,100,Solar Photovoltaic,SUN,PV,3,2023,"(TS) Construction complete, but not yet in commercial operation",31.346717,-97.08277
62856,"Forefront Power, LLC",64429,Amazon - Stockton - Roof (SCK1) - (CA),Map,Map,CA,San Joaquin,CISO,IPP Non-CHP,19001,,2.6,2.6,2.6,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",37.911715,-121.1987
64084,OE_TN1,64507,OETN1,Map,Map,TN,Obion,TVA,IPP Non-CHP,OETN1,,100,100,100,Solar Photovoltaic,SUN,PV,3,2023,"(U) Under construction, less than or equal to 50 percent complete",36.38638,-88.99194
13683,North Carolina El Member Corp,64509,South River H4 Solar Energy Storage,Map,Map,NC,Sampson,CPLE,Electric Utility,BAT1,,0.6,0.6,0.6,Batteries,MWH,BA,3,2023,"(TS) Construction complete, but not yet in commercial operation",35.04247,-78.58698
13683,North Carolina El Member Corp,64509,South River H4 Solar Energy Storage,Map,Map,NC,Sampson,CPLE,Electric Utility,SOL1,,0.5,0.5,0.5,Solar Photovoltaic,SUN,PV,3,2023,"(TS) Construction complete, but not yet in commercial operation",35.04247,-78.58698
13683,North Carolina El Member Corp,64510,Arba Solar Energy Storage,Map,Map,NC,Greene,CPLE,Electric Utility,BAT1,,5.1,5.1,5.1,Batteries,MWH,BA,3,2023,"(TS) Construction complete, but not yet in commercial operation",35.419641,-77.72909
13683,North Carolina El Member Corp,64510,Arba Solar Energy Storage,Map,Map,NC,Greene,CPLE,Electric Utility,SOL1,,5,5,5,Solar Photovoltaic,SUN,PV,3,2023,"(TS) Construction complete, but not yet in commercial operation",35.419641,-77.72909
13683,North Carolina El Member Corp,64511,Rose Acre Solar Energy Storage,Map,Map,NC,Hyde,CPLE,Electric Utility,BAT1,,2.5,2.5,2.5,Batteries,MWH,BA,3,2023,"(TS) Construction complete, but not yet in commercial operation",35.637337,-76.53598
13683,North Carolina El Member Corp,64511,Rose Acre Solar Energy Storage,Map,Map,NC,Hyde,CPLE,Electric Utility,SOL1,,2,2,2,Solar Photovoltaic,SUN,PV,3,2023,"(TS) Construction complete, but not yet in commercial operation",35.637337,-76.53598
13683,North Carolina El Member Corp,64512,Hamlet Solar Energy Storage,Map,Map,NC,Richmond,CPLE,Electric Utility,BAT1,,0.5,0.5,0.5,Batteries,MWH,BA,3,2023,"(TS) Construction complete, but not yet in commercial operation",34.846047,-79.73401
13683,North Carolina El Member Corp,64512,Hamlet Solar Energy Storage,Map,Map,NC,Richmond,CPLE,Electric Utility,SOL1,,0.5,0.5,0.5,Solar Photovoltaic,SUN,PV,3,2023,"(TS) Construction complete, but not yet in commercial operation",34.846047,-79.73401
13683,North Carolina El Member Corp,64513,Wake RJ3 Solar Energy Storage,Map,Map,NC,Wake,CPLE,Electric Utility,BAT1,,0.6,0.6,0.6,Batteries,MWH,BA,3,2023,"(TS) Construction complete, but not yet in commercial operation",35.953947,-78.42402
13683,North Carolina El Member Corp,64513,Wake RJ3 Solar Energy Storage,Map,Map,NC,Wake,CPLE,Electric Utility,SOL1,,0.5,0.5,0.5,Solar Photovoltaic,SUN,PV,3,2023,"(TS) Construction complete, but not yet in commercial operation",35.953947,-78.42402
62915,Madison Energy Holdings LLC,64532,Norton,Map,Map,MA,Bristol,ISNE,IPP Non-CHP,NORTN,,1.4,1.4,1.4,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",41.96829,-71.16544
64178,"Ranchland Wind Project II, LLC",64544,Ranchland Wind Project II,Map,Map,TX,Callahan,ERCO,IPP Non-CHP,WT2,,148,148,148,Onshore Wind Turbine,WND,WT,3,2023,"(TS) Construction complete, but not yet in commercial operation",32.307,-99.165
64177,"Ranchland Wind Project I, LLC",64551,Ranchland Wind Project I,Map,Map,TX,Callahan,ERCO,IPP Non-CHP,WT2,,114.9,114.9,114.9,Onshore Wind Turbine,WND,WT,3,2023,"(TS) Construction complete, but not yet in commercial operation",32.26468,-99.1972
64236,Kearsarge Upper Union LLC,64619,Kearsarge Upper Union,Map,Map,MA,Norfolk,ISNE,IPP Non-CHP,FUU,,1,1,1,Solar Photovoltaic,SUN,PV,3,2023,"(U) Under construction, less than or equal to 50 percent complete",42.050281,-71.39128
64236,Kearsarge Upper Union LLC,64619,Kearsarge Upper Union,Map,Map,MA,Norfolk,ISNE,IPP Non-CHP,UUBAT,,0.8,0.8,0.8,Batteries,MWH,BA,3,2023,"(U) Under construction, less than or equal to 50 percent complete",42.050281,-71.39128
